#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Taurine and hypotaurine metabolism	KEGG PATHWAY	hsa00430	1	11	0.516154879	0.799592529	GGT5	http://www.genome.jp/kegg-bin/show_pathway?hsa00430/hsa:2687%09red
AMPK signaling pathway	KEGG PATHWAY	hsa04152	8	125	0.523441346	0.806220005	PPP2R2C|SREBF1|IGF1|CCND1|CCNA2|PPARGC1A|FOXO1|LEPR	http://www.genome.jp/kegg-bin/show_pathway?hsa04152/hsa:5522%09red/hsa:3953%09red/hsa:890%09red/hsa:595%09red/hsa:3479%09red/hsa:10891%09red/hsa:6720%09red/hsa:2308%09red
Tuberculosis	KEGG PATHWAY	hsa05152	11	174	0.526580131	0.806419858	IL12A|CD14|ITGB2|TGFB2|CTSS|C3|TLR4|IL6|CORO1A|TLR6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05152/hsa:3689%09red/hsa:3569%09red/hsa:11151%09red/hsa:1520%09red/hsa:3592%09red/hsa:7099%09red/hsa:718%09red/hsa:7043%09red/hsa:7042%09red/hsa:10333%09red/hsa:929%09red
Purine metabolism	KEGG PATHWAY	hsa00230	11	177	0.548368656	0.829759023	PDE1A|PDE8B|ENPP1|PRPS1|PRIM1|PDE10A|POLE2|NME3|RRM2|GUCY1A2|RRM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:10846%09red/hsa:5136%09red/hsa:5427%09red/hsa:4832%09red/hsa:5631%09red/hsa:2977%09red/hsa:8622%09red/hsa:5557%09red/hsa:6240%09red/hsa:6241%09red/hsa:5167%09red
Hedgehog signaling pathway	KEGG PATHWAY	hsa04340	3	46	0.554823345	0.829759023	GAS1|SMURF2|CCND1	http://www.genome.jp/kegg-bin/show_pathway?hsa04340/hsa:595%09red/hsa:2619%09red/hsa:64750%09red
Ether lipid metabolism	KEGG PATHWAY	hsa00565	3	46	0.554823345	0.829759023	PLA2G2A|PLA2G16|PLD3	http://www.genome.jp/kegg-bin/show_pathway?hsa00565/hsa:23646%09red/hsa:5320%09red/hsa:11145%09red
Intestinal immune network for IgA production	KEGG PATHWAY	hsa04672	3	46	0.554823345	0.829759023	TNFSF13B|IL6|IL15RA	http://www.genome.jp/kegg-bin/show_pathway?hsa04672/hsa:3601%09red/hsa:3569%09red/hsa:10673%09red
Pancreatic secretion	KEGG PATHWAY	hsa04972	6	96	0.557300837	0.829759023	ATP2B4|KCNMA1|CPB1|PLCB1|SLC4A4|PLA2G2A	http://www.genome.jp/kegg-bin/show_pathway?hsa04972/hsa:5320%09red/hsa:1360%09red/hsa:23236%09red/hsa:493%09red/hsa:3778%09red/hsa:8671%09red
Cholinergic synapse	KEGG PATHWAY	hsa04725	7	113	0.561735137	0.831740424	CACNA1A|GNAO1|KCNQ5|FOS|PLCB1|CAMK4|KCNJ12	http://www.genome.jp/kegg-bin/show_pathway?hsa04725/hsa:773%09red/hsa:2775%09red/hsa:814%09red/hsa:56479%09red/hsa:23236%09red/hsa:3768%09red/hsa:2353%09red
Linoleic acid metabolism	KEGG PATHWAY	hsa00591	2	30	0.567795411	0.836094342	PLA2G16|PLA2G2A	http://www.genome.jp/kegg-bin/show_pathway?hsa00591/hsa:5320%09red/hsa:11145%09red
Non-homologous end-joining	KEGG PATHWAY	hsa03450	1	13	0.571310151	0.836672789	FEN1	http://www.genome.jp/kegg-bin/show_pathway?hsa03450/hsa:2237%09red
Other types of O-glycan biosynthesis	KEGG PATHWAY	hsa00514	2	31	0.584710303	0.851643268	B3GALT4|MGAT5B	http://www.genome.jp/kegg-bin/show_pathway?hsa00514/hsa:8705%09red/hsa:146664%09red
Longevity regulating pathway - multiple species	KEGG PATHWAY	hsa04213	4	66	0.594095858	0.853595621	IGF1|FOXO1|HSPA2|HSPA6	http://www.genome.jp/kegg-bin/show_pathway?hsa04213/hsa:3306%09red/hsa:3310%09red/hsa:3479%09red/hsa:2308%09red
Long-term potentiation	KEGG PATHWAY	hsa04720	4	66	0.594095858	0.853595621	GRIA1|PLCB1|CAMK4|GRIN2A	http://www.genome.jp/kegg-bin/show_pathway?hsa04720/hsa:814%09red/hsa:23236%09red/hsa:2903%09red/hsa:2890%09red
Cocaine addiction	KEGG PATHWAY	hsa05030	3	49	0.5956059	0.853595621	DRD1|MAOB|GRIN2A	http://www.genome.jp/kegg-bin/show_pathway?hsa05030/hsa:1812%09red/hsa:4129%09red/hsa:2903%09red
mTOR signaling pathway	KEGG PATHWAY	hsa04150	9	155	0.630064508	0.894092065	WNT2B|FZD4|WNT7B|WNT2|IGF1|WNT5A|WNT4|PRR5|DEPTOR	http://www.genome.jp/kegg-bin/show_pathway?hsa04150/hsa:55615%09red/hsa:7474%09red/hsa:7472%09red/hsa:64798%09red/hsa:3479%09red/hsa:7482%09red/hsa:8322%09red/hsa:7477%09red/hsa:54361%09red
Insulin secretion	KEGG PATHWAY	hsa04911	5	87	0.633831716	0.894092065	KCNMB4|SNAP25|KCNMB2|PLCB1|KCNMA1	http://www.genome.jp/kegg-bin/show_pathway?hsa04911/hsa:27345%09red/hsa:10242%09red/hsa:3778%09red/hsa:23236%09red/hsa:6616%09red
Ovarian steroidogenesis	KEGG PATHWAY	hsa04913	3	52	0.63387124	0.894092065	AKR1C3|PTGS2|IGF1	http://www.genome.jp/kegg-bin/show_pathway?hsa04913/hsa:5743%09red/hsa:3479%09red/hsa:8644%09red
Neurotrophin signaling pathway	KEGG PATHWAY	hsa04722	7	122	0.638480259	0.895878059	SHC3|TP73|NTRK1|NGFR|NTF3|SHC2|CAMK4	http://www.genome.jp/kegg-bin/show_pathway?hsa04722/hsa:4914%09red/hsa:814%09red/hsa:25759%09red/hsa:53358%09red/hsa:7161%09red/hsa:4908%09red/hsa:4804%09red
Prion diseases	KEGG PATHWAY	hsa05020	2	35	0.647424677	0.903696945	IL6|CASP12	http://www.genome.jp/kegg-bin/show_pathway?hsa05020/hsa:3569%09red/hsa:100506742%09red
Insulin signaling pathway	KEGG PATHWAY	hsa04910	8	141	0.652594284	0.906193099	SREBF1|SORBS1|SHC3|PPARGC1A|FOXO1|SHC2|PPP1R3F|PHKG1	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5260%09red/hsa:25759%09red/hsa:53358%09red/hsa:10580%09red/hsa:10891%09red/hsa:6720%09red/hsa:89801%09red/hsa:2308%09red
Inositol phosphate metabolism	KEGG PATHWAY	hsa00562	4	72	0.658942809	0.907213929	ISYNA1|MIOX|PLCB1|PLCH1	http://www.genome.jp/kegg-bin/show_pathway?hsa00562/hsa:23007%09red/hsa:23236%09red/hsa:55586%09red/hsa:51477%09red
Selenocompound metabolism	KEGG PATHWAY	hsa00450	1	17	0.663484814	0.907213929	INMT	http://www.genome.jp/kegg-bin/show_pathway?hsa00450/hsa:11185%09red
Nitrogen metabolism	KEGG PATHWAY	hsa00910	1	17	0.663484814	0.907213929	CA12	http://www.genome.jp/kegg-bin/show_pathway?hsa00910/hsa:771%09red
Other glycan degradation	KEGG PATHWAY	hsa00511	1	18	0.683249366	0.9294966	NEU3	http://www.genome.jp/kegg-bin/show_pathway?hsa00511/hsa:10825%09red
Insulin resistance	KEGG PATHWAY	hsa04931	6	111	0.690039333	0.933992633	SREBF1|SLC27A1|NR1H3|PPARGC1A|FOXO1|IL6	http://www.genome.jp/kegg-bin/show_pathway?hsa04931/hsa:3569%09red/hsa:10062%09red/hsa:376497%09red/hsa:10891%09red/hsa:6720%09red/hsa:2308%09red
Platinum drug resistance	KEGG PATHWAY	hsa01524	4	76	0.698083885	0.940133072	BIRC3|BRCA1|TOP2A|BIRC5	http://www.genome.jp/kegg-bin/show_pathway?hsa01524/hsa:672%09red/hsa:332%09red/hsa:7153%09red/hsa:330%09red
Glycerophospholipid metabolism	KEGG PATHWAY	hsa00564	5	96	0.7136862	0.956339508	GPAT3|PLA2G2A|GPAT2|PLA2G16|PLD3	http://www.genome.jp/kegg-bin/show_pathway?hsa00564/hsa:150763%09red/hsa:23646%09red/hsa:5320%09red/hsa:11145%09red/hsa:84803%09red
Aldosterone-regulated sodium reabsorption	KEGG PATHWAY	hsa04960	2	41	0.727078832	0.969438442	SLC9A3R2|IGF1	http://www.genome.jp/kegg-bin/show_pathway?hsa04960/hsa:3479%09red/hsa:9351%09red
Aldosterone synthesis and secretion	KEGG PATHWAY	hsa04925	4	80	0.733889955	0.973675783	PLCB1|AGTR1|CAMK4|CYP21A2	http://www.genome.jp/kegg-bin/show_pathway?hsa04925/hsa:1589%09red/hsa:814%09red/hsa:23236%09red/hsa:185%09red
Arginine biosynthesis	KEGG PATHWAY	hsa00220	1	22	0.751367086	0.987877082	ASS1	http://www.genome.jp/kegg-bin/show_pathway?hsa00220/hsa:445%09red
Synaptic vesicle cycle	KEGG PATHWAY	hsa04721	3	64	0.761009619	0.987877082	CACNA1A|SLC17A7|SNAP25	http://www.genome.jp/kegg-bin/show_pathway?hsa04721/hsa:773%09red/hsa:57030%09red/hsa:6616%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	hsa00900	1	23	0.765972788	0.987877082	PDSS1	http://www.genome.jp/kegg-bin/show_pathway?hsa00900/hsa:23590%09red
Fatty acid degradation	KEGG PATHWAY	hsa00071	2	45	0.771273867	0.987877082	ADH1B|ADH1C	http://www.genome.jp/kegg-bin/show_pathway?hsa00071/hsa:126%09red/hsa:125%09red
Cysteine and methionine metabolism	KEGG PATHWAY	hsa00270	2	45	0.771273867	0.987877082	DNMT3B|SMS	http://www.genome.jp/kegg-bin/show_pathway?hsa00270/hsa:6611%09red/hsa:1789%09red
Basal transcription factors	KEGG PATHWAY	hsa03022	2	45	0.771273867	0.987877082	TAF7L|GTF2A1L	http://www.genome.jp/kegg-bin/show_pathway?hsa03022/hsa:11036%09red/hsa:54457%09red
Choline metabolism in cancer	KEGG PATHWAY	hsa05231	5	104	0.77361636	0.987877082	FOS|EGFR|PDGFD|PDGFRB|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa05231/hsa:2353%09red/hsa:80310%09red/hsa:1950%09red/hsa:5159%09red/hsa:1956%09red
Metabolic pathways	KEGG PATHWAY	hsa01100	71	1240	0.779519927	0.987877082	ST3GAL5|ST8SIA1|PTGDS|SMS|ENPP1|GPAT3|DNMT3B|ISYNA1|ODC1|GAA|ADH1C|ASS1|ALDH1A1|AOX1|B3GALT4|TM7SF2|GGT5|GLDC|LIPC|GALNT4|NNMT|CHDH|PLCB1|AOC3|GALNT18|GPAT2|FAXDC2|CES1|GALNT16|PRPS1|TBXAS1|GALNT6|ST8SIA5|AKR1C3|CYP21A2|MAOB|TYMS|PLA2G16|NME3|RDH10|MAN1C1|ADH1B|HPSE2|MGAT5B|NAPRT|GCNT1|CYP26B1|PTGS2|ACSS1|POLE2|PTGS1|CTPS1|ALPL|B3GNT5|CKM|B3GALT5|TK1|AGMAT|TYMP|DHFR|DHRS3|GK|PRIM1|DPYS|HPSE|ST6GALNAC5|RRM2|PLA2G2A|PLD3|RRM1|PLCH1	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:2650%09red/hsa:23007%09red/hsa:5320%09red/hsa:7298%09red/hsa:150763%09red/hsa:55349%09red/hsa:79814%09red/hsa:23236%09red/hsa:57452%09red/hsa:84002%09red/hsa:316%09red/hsa:157506%09red/hsa:6489%09red/hsa:6916%09red/hsa:84532%09red/hsa:445%09red/hsa:216%09red/hsa:3990%09red/hsa:1503%09red/hsa:2687%09red/hsa:146664%09red/hsa:5742%09red/hsa:4129%09red/hsa:7108%09red/hsa:8705%09red/hsa:1589%09red/hsa:10826%09red/hsa:5557%09red/hsa:2548%09red/hsa:1890%09red/hsa:23646%09red/hsa:374378%09red/hsa:5743%09red/hsa:125%09red/hsa:84803%09red/hsa:9249%09red/hsa:8644%09red/hsa:8693%09red/hsa:4832%09red/hsa:4953%09red/hsa:4837%09red/hsa:1807%09red/hsa:11226%09red/hsa:56603%09red/hsa:57134%09red/hsa:8869%09red/hsa:6611%09red/hsa:1719%09red/hsa:249%09red/hsa:51477%09red/hsa:7083%09red/hsa:29906%09red/hsa:93100%09red/hsa:60495%09red/hsa:10855%09red/hsa:1158%09red/hsa:5427%09red/hsa:126%09red/hsa:2731%09red/hsa:5631%09red/hsa:1066%09red/hsa:11145%09red/hsa:2710%09red/hsa:1789%09red/hsa:81849%09red/hsa:6240%09red/hsa:6241%09red/hsa:10317%09red/hsa:5730%09red/hsa:8639%09red/hsa:5167%09red
Vitamin digestion and absorption	KEGG PATHWAY	hsa04977	1	24	0.779721009	0.987877082	TCN2	http://www.genome.jp/kegg-bin/show_pathway?hsa04977/hsa:6948%09red
Lysosome	KEGG PATHWAY	hsa04142	6	124	0.781455005	0.987877082	CTSV|CTSK|GAA|AP1S3|CTSS|CTSF	http://www.genome.jp/kegg-bin/show_pathway?hsa04142/hsa:1513%09red/hsa:1520%09red/hsa:1515%09red/hsa:130340%09red/hsa:2548%09red/hsa:8722%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	hsa00010	3	67	0.786538571	0.989635385	ACSS1|ADH1B|ADH1C	http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:84532%09red/hsa:126%09red/hsa:125%09red
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	KEGG PATHWAY	hsa00563	1	25	0.792662058	0.992679587	PIGZ	http://www.genome.jp/kegg-bin/show_pathway?hsa00563/hsa:80235%09red
Notch signaling pathway	KEGG PATHWAY	hsa04330	2	48	0.800196633	0.992992696	DTX4|JAG1	http://www.genome.jp/kegg-bin/show_pathway?hsa04330/hsa:182%09red/hsa:23220%09red
Maturity onset diabetes of the young	KEGG PATHWAY	hsa04950	1	26	0.804843299	0.992992696	NR5A2	http://www.genome.jp/kegg-bin/show_pathway?hsa04950/hsa:2494%09red
N-Glycan biosynthesis	KEGG PATHWAY	hsa00510	2	49	0.809090966	0.992992696	MAN1C1|MGAT5B	http://www.genome.jp/kegg-bin/show_pathway?hsa00510/hsa:146664%09red/hsa:57134%09red
RIG-I-like receptor signaling pathway	KEGG PATHWAY	hsa04622	3	70	0.809763703	0.992992696	IL12A|IRF7|CXCL8	http://www.genome.jp/kegg-bin/show_pathway?hsa04622/hsa:3665%09red/hsa:3576%09red/hsa:3592%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	hsa00053	1	27	0.816309313	0.992992696	MIOX	http://www.genome.jp/kegg-bin/show_pathway?hsa00053/hsa:55586%09red
Metabolism of xenobiotics by cytochrome P450	KEGG PATHWAY	hsa00980	3	72	0.82403149	0.992992696	ADH1B|ADH1C|EPHX1	http://www.genome.jp/kegg-bin/show_pathway?hsa00980/hsa:2052%09red/hsa:126%09red/hsa:125%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	hsa00630	1	28	0.827102072	0.992992696	GLDC	http://www.genome.jp/kegg-bin/show_pathway?hsa00630/hsa:2731%09red
Asthma	KEGG PATHWAY	hsa05310	1	28	0.827102072	0.992992696	CCL11	http://www.genome.jp/kegg-bin/show_pathway?hsa05310/hsa:6356%09red
Mineral absorption	KEGG PATHWAY	hsa04978	2	52	0.833688283	0.992992696	SLC34A2|SLC40A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04978/hsa:10568%09red/hsa:30061%09red
Non-alcoholic fatty liver disease (NAFLD)	KEGG PATHWAY	hsa04932	7	153	0.835442615	0.992992696	SREBF1|CXCL8|CEBPA|NR1H3|COX7A1|IL6|LEPR	http://www.genome.jp/kegg-bin/show_pathway?hsa04932/hsa:3569%09red/hsa:10062%09red/hsa:1346%09red/hsa:3953%09red/hsa:3576%09red/hsa:1050%09red/hsa:6720%09red
Pentose phosphate pathway	KEGG PATHWAY	hsa00030	1	29	0.837261083	0.992992696	PRPS1	http://www.genome.jp/kegg-bin/show_pathway?hsa00030/hsa:5631%09red
B cell receptor signaling pathway	KEGG PATHWAY	hsa04662	3	74	0.837374438	0.992992696	FOS|IFITM1|NFATC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04662/hsa:2353%09red/hsa:8519%09red/hsa:4773%09red
Longevity regulating pathway	KEGG PATHWAY	hsa04211	4	96	0.845426593	0.998124789	PPARGC1A|CAMK4|FOXO1|IGF1	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:814%09red/hsa:3479%09red/hsa:10891%09red/hsa:2308%09red
Galactose metabolism	KEGG PATHWAY	hsa00052	1	31	0.855824445	1	GAA	http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:2548%09red
Propanoate metabolism	KEGG PATHWAY	hsa00640	1	32	0.864296762	1	ACSS1	http://www.genome.jp/kegg-bin/show_pathway?hsa00640/hsa:84532%09red
Starch and sucrose metabolism	KEGG PATHWAY	hsa00500	2	57	0.868379572	1	GAA|ENPP1	http://www.genome.jp/kegg-bin/show_pathway?hsa00500/hsa:5167%09red/hsa:2548%09red
Fructose and mannose metabolism	KEGG PATHWAY	hsa00051	1	33	0.872271512	1	ENOSF1	http://www.genome.jp/kegg-bin/show_pathway?hsa00051/hsa:55556%09red
Glucagon signaling pathway	KEGG PATHWAY	hsa04922	4	102	0.875648218	1	PLCB1|PPARGC1A|FOXO1|PHKG1	http://www.genome.jp/kegg-bin/show_pathway?hsa04922/hsa:23236%09red/hsa:10891%09red/hsa:5260%09red/hsa:2308%09red
Primary immunodeficiency	KEGG PATHWAY	hsa05340	1	35	0.886843413	1	IL7R	http://www.genome.jp/kegg-bin/show_pathway?hsa05340/hsa:3575%09red
"Alanine, aspartate and glutamate metabolism"	KEGG PATHWAY	hsa00250	1	35	0.886843413	1	ASS1	http://www.genome.jp/kegg-bin/show_pathway?hsa00250/hsa:445%09red
Cytosolic DNA-sensing pathway	KEGG PATHWAY	hsa04623	2	63	0.901180794	1	IL6|IRF7	http://www.genome.jp/kegg-bin/show_pathway?hsa04623/hsa:3569%09red/hsa:3665%09red
GABAergic synapse	KEGG PATHWAY	hsa04727	3	88	0.908428413	1	CACNA1A|GABRA5|GNAO1	http://www.genome.jp/kegg-bin/show_pathway?hsa04727/hsa:773%09red/hsa:2558%09red/hsa:2775%09red
Shigellosis	KEGG PATHWAY	hsa05131	2	66	0.914558252	1	HCLS1|CXCL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05131/hsa:3059%09red/hsa:3576%09red
Pyruvate metabolism	KEGG PATHWAY	hsa00620	1	40	0.916412337	1	ACSS1	http://www.genome.jp/kegg-bin/show_pathway?hsa00620/hsa:84532%09red
Fat digestion and absorption	KEGG PATHWAY	hsa04975	1	41	0.921325934	1	PLA2G2A	http://www.genome.jp/kegg-bin/show_pathway?hsa04975/hsa:5320%09red
GnRH signaling pathway	KEGG PATHWAY	hsa04912	3	92	0.9227798	1	HBEGF|EGFR|PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04912/hsa:1956%09red/hsa:1839%09red/hsa:23236%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	hsa04120	5	137	0.924702041	1	BIRC3|CDC20|SMURF2|UBE2C|BRCA1	http://www.genome.jp/kegg-bin/show_pathway?hsa04120/hsa:672%09red/hsa:991%09red/hsa:330%09red/hsa:64750%09red/hsa:11065%09red
Adipocytokine signaling pathway	KEGG PATHWAY	hsa04920	2	71	0.93314211	1	PPARGC1A|LEPR	http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:10891%09red/hsa:3953%09red
Sphingolipid metabolism	KEGG PATHWAY	hsa00600	1	47	0.94530512	1	NEU3	http://www.genome.jp/kegg-bin/show_pathway?hsa00600/hsa:10825%09red
Endocrine and other factor-regulated calcium reabsorption	KEGG PATHWAY	hsa04961	1	47	0.94530512	1	PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04961/hsa:23236%09red
Biosynthesis of amino acids	KEGG PATHWAY	hsa01230	2	76	0.947851921	1	PRPS1|ASS1	http://www.genome.jp/kegg-bin/show_pathway?hsa01230/hsa:5631%09red/hsa:445%09red
"Valine, leucine and isoleucine degradation"	KEGG PATHWAY	hsa00280	1	48	0.948521136	1	AOX1	http://www.genome.jp/kegg-bin/show_pathway?hsa00280/hsa:316%09red
Fatty acid metabolism	KEGG PATHWAY	hsa01212	1	49	0.951548167	1	ELOVL2	http://www.genome.jp/kegg-bin/show_pathway?hsa01212/hsa:54898%09red
Vibrio cholerae infection	KEGG PATHWAY	hsa05110	1	50	0.954397311	1	TJP2	http://www.genome.jp/kegg-bin/show_pathway?hsa05110/hsa:9414%09red
Type II diabetes mellitus	KEGG PATHWAY	hsa04930	1	50	0.954397311	1	CACNA1A	http://www.genome.jp/kegg-bin/show_pathway?hsa04930/hsa:773%09red
T cell receptor signaling pathway	KEGG PATHWAY	hsa04660	3	107	0.960094443	1	FOS|BUB1B-PAK6|NFATC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04660/hsa:2353%09red/hsa:56924%09red/hsa:4773%09red
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	7	204	0.967469017	1	ICAM1|HLA-C|HSPA2|CCNA2|CDK1|HLA-F|HSPA6	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:983%09red/hsa:890%09red/hsa:3383%09red/hsa:3306%09red/hsa:3310%09red/hsa:3107%09red/hsa:3134%09red
Carbon metabolism	KEGG PATHWAY	hsa01200	3	113	0.96960322	1	ACSS1|PRPS1|GLDC	http://www.genome.jp/kegg-bin/show_pathway?hsa01200/hsa:84532%09red/hsa:5631%09red/hsa:2731%09red
Fc gamma R-mediated phagocytosis	KEGG PATHWAY	hsa04666	2	96	0.98119981	1	SCIN|DOCK2	http://www.genome.jp/kegg-bin/show_pathway?hsa04666/hsa:1794%09red/hsa:85477%09red
Gastric acid secretion	KEGG PATHWAY	hsa04971	1	74	0.989358321	1	PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04971/hsa:23236%09red
RNA degradation	KEGG PATHWAY	hsa03018	1	77	0.991129026	1	EXOSC9	http://www.genome.jp/kegg-bin/show_pathway?hsa03018/hsa:5393%09red
Alzheimer's disease	KEGG PATHWAY	hsa05010	4	166	0.991171297	1	COX7A1|PLCB1|CASP12|GRIN2A	http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:2903%09red/hsa:1346%09red/hsa:23236%09red/hsa:100506742%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	hsa04141	4	167	0.991558693	1	CASP12|MAN1C1|HSPA6|HSPA2	http://www.genome.jp/kegg-bin/show_pathway?hsa04141/hsa:3306%09red/hsa:57134%09red/hsa:100506742%09red/hsa:3310%09red
RNA transport	KEGG PATHWAY	hsa03013	4	171	0.992951497	1	CYFIP2|EIF4EBP3|TACC3|EIF1AY	http://www.genome.jp/kegg-bin/show_pathway?hsa03013/hsa:10460%09red/hsa:8637%09red/hsa:9086%09red/hsa:26999%09red
Peroxisome	KEGG PATHWAY	hsa04146	1	83	0.993835953	1	PEX5L	http://www.genome.jp/kegg-bin/show_pathway?hsa04146/hsa:51555%09red
Sphingolipid signaling pathway	KEGG PATHWAY	hsa04071	2	123	0.995485667	1	PPP2R2C|PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04071/hsa:5522%09red/hsa:23236%09red
mRNA surveillance pathway	KEGG PATHWAY	hsa03015	1	91	0.996206837	1	PPP2R2C	http://www.genome.jp/kegg-bin/show_pathway?hsa03015/hsa:5522%09red
Parkinson's disease	KEGG PATHWAY	hsa05012	2	134	0.997505513	1	DRD1|COX7A1	http://www.genome.jp/kegg-bin/show_pathway?hsa05012/hsa:1812%09red/hsa:1346%09red
Ribosome	KEGG PATHWAY	hsa03010	2	136	0.997761924	1	RPL17-C18orf32|RPS4Y1	http://www.genome.jp/kegg-bin/show_pathway?hsa03010/hsa:6139%09red/hsa:6192%09red
Spliceosome	KEGG PATHWAY	hsa03040	2	136	0.997761924	1	HSPA6|HSPA2	http://www.genome.jp/kegg-bin/show_pathway?hsa03040/hsa:3306%09red/hsa:3310%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	hsa04070	1	101	0.997933055	1	PLCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04070/hsa:23236%09red
Huntington's disease	KEGG PATHWAY	hsa05016	3	192	0.999365817	1	PLCB1|COX7A1|PPARGC1A	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:10891%09red/hsa:1346%09red/hsa:23236%09red
Oxidative phosphorylation	KEGG PATHWAY	hsa00190	1	124	0.999488914	1	COX7A1	http://www.genome.jp/kegg-bin/show_pathway?hsa00190/hsa:1346%09red
Olfactory transduction	KEGG PATHWAY	hsa04740	1	439	1	1	PDE1A	http://www.genome.jp/kegg-bin/show_pathway?hsa04740/hsa:5136%09red
